epoch,time(s),train_loss,test_loss,test_acc(%)
168,00073,0.141415,1.02642,75.14
169,00073,0.151407,1.03033,74.95
170,00073,0.146245,1.03423,75.33
171,00072,0.150973,1.03743,75.16
172,00073,0.133069,1.04017,75.22
173,00073,0.126930,1.03607,75.19
174,00073,0.132817,1.04430,75.05
175,00073,0.119919,1.03713,75.46
176,00073,0.119922,1.03622,75.44
177,00073,0.117007,1.04361,75.30
178,00073,0.115181,1.04411,75.32
179,00073,0.127695,1.04886,74.97
180,00073,0.118795,1.04122,75.51
181,00073,0.120716,1.04676,75.11
182,00073,0.115847,1.04972,75.28
183,00083,0.114457,1.04112,75.16
184,00075,0.142059,1.06117,75.01
185,00073,0.118206,1.05703,74.79
186,00073,0.129571,1.05812,75.17
187,00081,0.124689,1.05765,75.24
188,00079,0.111532,1.05825,75.15
189,00073,0.116087,1.06591,75.09
190,00073,0.125694,1.06870,74.94
191,00073,0.113214,1.05852,75.06
192,00073,0.112655,1.07242,74.99
193,00073,0.089919,1.07067,75.04
194,00073,0.113760,1.06060,75.02
195,00073,0.104750,1.06574,74.99
196,00073,0.101791,1.06036,75.32
197,00077,0.108905,1.07038,75.46
198,00082,0.102824,1.06751,75.19
199,00025,0.129126,1.07082,75.14
200,00075,0.105962,1.06668,75.36
